word;classes;pronoun;noun;adjective;adverb;verb;article;preposition;conjunction;interjection;other;title_counter;lyrics_counter
dictionary;noun;False;True;False;False;False;False;False;False;False;False;0;0
didactic;adjective;False;False;True;False;False;False;False;False;False;False;0;0
die;verb, noun;False;True;False;False;True;False;False;False;False;False;0;25
diet;noun, verb, adjective;False;True;True;False;True;False;False;False;False;False;0;0
dietician;noun;False;True;False;False;False;False;False;False;False;False;0;0
difference;noun;False;True;False;False;False;False;False;False;False;False;0;2
different;adjective;False;False;True;False;False;False;False;False;False;False;0;3
difficult;adjective;False;False;True;False;False;False;False;False;False;False;0;1
difficulty;noun;False;True;False;False;False;False;False;False;False;False;0;0
diffident;adjective;False;False;True;False;False;False;False;False;False;False;0;0
dig;verb, noun;False;True;False;False;True;False;False;False;False;False;2;18
dimension;noun;False;True;False;False;False;False;False;False;False;False;0;0
dinner;noun;False;True;False;False;False;False;False;False;False;False;0;2
dip;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
direction;noun;False;True;False;False;False;False;False;False;False;False;0;3
director;noun;False;True;False;False;False;False;False;False;False;False;0;0
dirt;noun;False;True;False;False;False;False;False;False;False;False;0;4
disagreement;noun;False;True;False;False;False;False;False;False;False;False;0;0
disappointment;noun;False;True;False;False;False;False;False;False;False;False;0;2
disapproval;noun;False;True;False;False;False;False;False;False;False;False;0;0
disaster;noun;False;True;False;False;False;False;False;False;False;False;0;0
disc;noun;False;True;False;False;False;False;False;False;False;False;0;0
discipline;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
discovery;noun;False;True;False;False;False;False;False;False;False;False;0;0
discursive;adjective;False;False;True;False;False;False;False;False;False;False;0;0
discussion;noun;False;True;False;False;False;False;False;False;False;False;0;0
disease;noun;False;True;False;False;False;False;False;False;False;False;0;2
disgust;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
dish;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
dishonest;adjective;False;False;True;False;False;False;False;False;False;False;0;0
dislike;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
dismay;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
display;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
disposable;adjective, noun;False;True;True;False;False;False;False;False;False;False;0;0
dispute;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
disrespect;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
distance;noun, verb;False;True;False;False;True;False;False;False;False;False;0;1
distant;adjective;False;False;True;False;False;False;False;False;False;False;0;0
distinct;adjective;False;False;True;False;False;False;False;False;False;False;0;0
distress;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
distribution;noun;False;True;False;False;False;False;False;False;False;False;0;0
district;noun;False;True;False;False;False;False;False;False;False;False;0;1
distrust;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
dive;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
diversity;noun;False;True;False;False;False;False;False;False;False;False;0;0
divide;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
division;noun;False;True;False;False;False;False;False;False;False;False;0;0
divorce;noun, verb;False;True;False;False;True;False;False;False;False;False;0;1
dizzy;adjective;False;False;True;False;False;False;False;False;False;False;1;8
do;verb, verb, noun, noun;False;True;False;False;True;False;False;False;False;False;9;467
doctor;noun, verb;False;True;False;False;True;False;False;False;False;False;1;18
document;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
dog;noun, verb;False;True;False;False;True;False;False;False;False;False;0;16
doll;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
dollar;noun;False;True;False;False;False;False;False;False;False;False;0;0
domestic;adjective, noun;False;True;True;False;False;False;False;False;False;False;0;0
dominant;adjective;False;False;True;False;False;False;False;False;False;False;0;0
domineering;adjective;False;False;True;False;False;False;False;False;False;False;0;0
door;noun;False;True;False;False;False;False;False;False;False;False;0;33
dorm;noun;False;True;False;False;False;False;False;False;False;False;0;0
dot;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
doubles;noun;False;True;False;False;False;False;False;False;False;False;0;0
doubt;verb, noun;False;True;False;False;True;False;False;False;False;False;0;3
draft;noun, adjective, verb;False;True;True;False;True;False;False;False;False;False;0;0
dribble;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
dugout;noun;False;True;False;False;False;False;False;False;False;False;0;0
dusk;noun;False;True;False;False;False;False;False;False;False;False;0;0
duty-free;adjective;False;False;True;False;False;False;False;False;False;False;0;0
e-mail;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
eager;adjective;False;False;True;False;False;False;False;False;False;False;0;0
ear;noun, noun;False;True;False;False;False;False;False;False;False;False;0;4
earlobe;noun;False;True;False;False;False;False;False;False;False;False;0;0
earth;noun, verb;False;True;False;False;True;False;False;False;False;False;0;7
ease;noun, verb;False;True;False;False;True;False;False;False;False;False;0;4
easygoing;adjective;False;False;True;False;False;False;False;False;False;False;0;0
ecology;noun;False;True;False;False;False;False;False;False;False;False;0;0
economic;adjective;False;False;True;False;False;False;False;False;False;False;0;0
economics;noun;False;True;False;False;False;False;False;False;False;False;0;0
economist;noun;False;True;False;False;False;False;False;False;False;False;0;0
economy;noun, adjective;False;True;True;False;False;False;False;False;False;False;0;0
ecosystem;noun;False;True;False;False;False;False;False;False;False;False;0;0
edge;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
edict;noun;False;True;False;False;False;False;False;False;False;False;0;0
edition;noun;False;True;False;False;False;False;False;False;False;False;0;0
editor;noun;False;True;False;False;False;False;False;False;False;False;0;0
education;noun;False;True;False;False;False;False;False;False;False;False;0;0
effect;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
effective;adjective;False;False;True;False;False;False;False;False;False;False;0;0
effete;adjective;False;False;True;False;False;False;False;False;False;False;0;0
efficient;adjective;False;False;True;False;False;False;False;False;False;False;0;0
effort;noun;False;True;False;False;False;False;False;False;False;False;0;0
egg;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
elastic;adjective, noun;False;True;True;False;False;False;False;False;False;False;0;0
elbow;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
elect;verb, noun, adjective;False;True;True;False;True;False;False;False;False;False;0;0
election;noun;False;True;False;False;False;False;False;False;False;False;0;0
electric;adjective;False;False;True;False;False;False;False;False;False;False;0;1
electrician;noun;False;True;False;False;False;False;False;False;False;False;0;0
electricity;noun;False;True;False;False;False;False;False;False;False;False;0;0
electronic;adjective;False;False;True;False;False;False;False;False;False;False;0;1
element;noun;False;True;False;False;False;False;False;False;False;False;0;2
embarrassment;noun;False;True;False;False;False;False;False;False;False;False;0;0
emergency;noun;False;True;False;False;False;False;False;False;False;False;0;0
emission;noun;False;True;False;False;False;False;False;False;False;False;0;0
emotion;noun;False;True;False;False;False;False;False;False;False;False;0;0
emotional;adjective;False;False;True;False;False;False;False;False;False;False;0;0
emphasis;noun;False;True;False;False;False;False;False;False;False;False;0;0
empire;noun;False;True;False;False;False;False;False;False;False;False;0;0
employ;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
employee;noun;False;True;False;False;False;False;False;False;False;False;0;0
employer;noun;False;True;False;False;False;False;False;False;False;False;0;0
