word;classes;pronoun;noun;adjective;adverb;verb;article;preposition;conjunction;interjection;other
nest;noun, verb;False;True;False;False;True;False;False;False;False;False
net;noun, verb, adjective, verb, noun;False;True;True;False;True;False;False;False;False;False
nettle;verb, noun;False;True;False;False;True;False;False;False;False;False
network;noun, verb;False;True;False;False;True;False;False;False;False;False
neutral;adjective, noun;False;True;True;False;False;False;False;False;False;False
never;adverb;False;False;False;True;False;False;False;False;False;False
nevertheless;adverb;False;False;False;True;False;False;False;False;False;False
new;adjective, adverb;False;False;True;True;False;False;False;False;False;False
newly;adverb;False;False;False;True;False;False;False;False;False;False
news;noun;False;True;False;False;False;False;False;False;False;False
newspaper;noun;False;True;False;False;False;False;False;False;False;False
next;adjective, adverb, pronoun;True;False;True;True;False;False;False;False;False;False
nice;adjective;False;False;True;False;False;False;False;False;False;False
niece;noun;False;True;False;False;False;False;False;False;False;False
night;noun, adjective;False;True;True;False;False;False;False;False;False;False
no;adverb, adjective, noun;False;True;True;True;False;False;False;False;False;False
no;pronoun;True;False;False;False;False;False;False;False;False;True
nobody;pronoun, noun;True;False;False;False;False;False;False;False;False;True
noise;noun;False;True;False;False;False;False;False;False;False;False
noisy;adjective;False;False;True;False;False;False;False;False;False;False
none;pronoun, adverb;True;False;False;True;False;False;False;False;False;False
noon;noun;False;True;False;False;False;False;False;False;False;False
nor;conjunction;False;False;False;False;False;False;False;True;False;False
normal;adjective, noun;False;True;True;False;False;False;False;False;False;False
normally;adjective, noun;False;True;True;False;False;False;False;False;False;False
nostril;noun;False;True;False;False;False;False;False;False;False;False
notary;noun;False;True;False;False;False;False;False;False;False;False
notebook;noun;False;True;False;False;False;False;False;False;False;False
notes;noun;False;True;False;False;False;False;False;False;False;False
now;adverb, conjunction, noun;False;True;False;True;False;False;False;True;False;False
nuclear;noun;False;True;False;False;False;False;False;False;False;False
nurse;noun, verb;False;True;False;False;True;False;False;False;False;False
nutritionist;noun;False;True;False;False;False;False;False;False;False;False
o'clock;adverb;False;False;False;True;False;False;False;False;False;False
oath;noun;False;True;False;False;False;False;False;False;False;False
obdurate;adjective;False;False;True;False;False;False;False;False;False;False
obey;verb;False;False;False;False;True;False;False;False;False;False
object;noun, verb;False;True;False;False;True;False;False;False;False;False
objection;noun;False;True;False;False;False;False;False;False;False;False
objective;adjective, noun;False;True;True;False;False;False;False;False;False;False
observation;noun, adjective;False;True;True;False;False;False;False;False;False;False
observe;verb;False;False;False;False;True;False;False;False;False;False
obsessive;adjective, noun;False;True;True;False;False;False;False;False;False;False
obtain;verb;False;False;False;False;True;False;False;False;False;False
obviate;verb;False;False;False;False;True;False;False;False;False;False
obvious;adjective;False;False;True;False;False;False;False;False;False;False
occasion;noun, verb;False;True;False;False;True;False;False;False;False;False
occasionally;adverb;False;False;False;True;False;False;False;False;False;False
occupation;noun;False;True;False;False;False;False;False;False;False;False
occupy;verb;False;False;False;False;True;False;False;False;False;False
occur;verb;False;False;False;False;True;False;False;False;False;False
ocean;noun;False;True;False;False;False;False;False;False;False;False
October;noun;False;True;False;False;False;False;False;False;False;False
odd;adjective;False;False;True;False;False;False;False;False;False;False
odor;noun;False;True;False;False;False;False;False;False;False;False
of;preposition;False;False;False;False;False;False;True;False;False;False
off;adverb, preposition, adjective, verb, noun;False;True;True;True;False;False;True;False;False;False
offend;verb;False;False;False;False;True;False;False;False;False;False
offense;noun;False;True;False;False;False;False;False;False;False;False
offensive;adjective, noun;False;True;True;False;False;False;False;False;False;False
offer;verb, noun;False;True;False;False;True;False;False;False;False;False
office;noun;False;True;False;False;False;False;False;False;False;False
officer;noun;False;True;False;False;False;False;False;False;False;False
official;adjective, noun;False;True;True;False;False;False;False;False;False;False
often;adverb;False;False;False;True;False;False;False;False;False;False
